City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lihue,21.9789,-159.3672,27.08,75,27,6.61,US,1731456253
83,alotau,-10.3069,150.4462,28.52,78,66,2.81,PG,1731456256
84,malanje,-9.5402,16.341,17.7,96,72,0.51,AO,1731456258
85,yuli,9.6989,10.2744,25.18,37,14,2.73,NG,1731456259
86,asmar,35.0333,71.3581,9.24,56,61,3.2,AF,1731456260
87,namtsy,62.7161,129.6658,-22.84,99,96,1.94,RU,1731456261
88,papatowai,-46.5619,169.4708,15.9,56,4,4.12,NZ,1731456263
89,okha,53.5739,142.9478,-2.88,79,100,8.2,RU,1731456264
90,sao felix do xingu,-6.6447,-51.995,23.8,83,90,0.68,BR,1731456265
91,longyearbyen,78.2186,15.6401,2.91,75,75,14.4,SJ,1731456266
92,kurchatov,51.6601,35.6521,-1.39,85,19,1.7,RU,1731456267
93,talnakh,69.4865,88.3972,-24.59,99,98,1.4,RU,1731456269
94,inza,53.8533,46.3586,-1.57,88,98,3.67,RU,1731456237
95,invercargill,-46.4,168.35,16.68,62,3,1.79,NZ,1731456271
96,khovd,48.0056,91.6419,-1.99,33,5,3.35,MN,1731456272
97,hithadhoo,-0.6,73.0833,28.4,74,86,7.58,MV,1731456274
98,bethel,41.3712,-73.414,6.4,52,0,3.09,US,1731456276
99,maragogi,-9.0122,-35.2225,24.9,82,13,4.5,BR,1731456277
100,nikopol,47.5712,34.3964,3.72,75,64,4.92,UA,1731456278
101,hirara,24.8,125.2833,26.15,89,75,6.17,JP,1731456280
102,guerrero negro,27.9769,-114.0611,18.2,73,0,8.44,MX,1731456281
103,lata,40.1629,-8.3327,8.61,74,88,2.4,PT,1731456282
104,clearwater,27.9659,-82.8001,28.37,73,0,3.6,US,1731456283
105,la passe,45.5549,-0.8967,7.33,90,27,7.02,FR,1731456285
106,bereznik,62.8551,42.7072,-3.52,97,39,1.98,RU,1731456286
107,atafu village,-8.5421,-172.5159,28.63,65,4,6.97,TK,1731456287
108,anadyr,64.75,177.4833,-1.72,80,40,9.0,RU,1731456288
109,polygyros,40.3744,23.4383,7.79,91,100,2.52,GR,1731456289
110,nguigmi,14.2495,13.1092,25.15,23,0,5.44,NE,1731456293
111,progreso,21.2833,-89.6667,25.91,82,46,3.02,MX,1731456294
112,mount isa,-20.7333,139.5,36.87,19,7,5.66,AU,1731456295
113,thompson,55.7435,-97.8558,5.09,70,75,3.6,CA,1731456296
114,talakan,50.3167,130.3667,-7.14,77,31,1.54,RU,1731456297
115,ad dilam,23.9915,47.1627,22.6,27,0,2.19,SA,1731456299
116,isafjordur,66.0755,-23.124,2.64,70,46,23.51,IS,1731456300
117,ruelle-sur-touvre,45.6833,0.2333,7.82,93,0,4.63,FR,1731456301
118,taroa,8.7058,171.2275,28.26,79,24,7.58,MH,1731456302
119,jacmel,18.2342,-72.5347,24.22,92,100,0.35,HT,1731456303
120,dzilam gonzalez,21.2833,-88.9333,24.16,95,23,1.66,MX,1731456304
121,hawaiian paradise park,19.5933,-154.9731,27.15,77,40,4.12,US,1731456306
122,sorochinsk,52.4338,53.1583,-3.69,91,49,4.76,RU,1731456307
123,tura,25.5198,90.2201,17.94,89,0,2.01,IN,1731456308
124,bagaha,27.1,84.0833,19.5,72,0,1.35,IN,1731456309
125,ust-nera,64.5667,143.2,-30.9,98,92,0.91,RU,1731456311
126,ofunato,39.0717,141.7167,9.84,61,6,0.75,JP,1731456313
127,bonthe,7.5264,-12.505,25.69,86,97,1.69,SL,1731456314
128,uyuni,-20.4597,-66.825,16.19,12,1,6.72,BO,1731456315
129,natal,-5.795,-35.2094,27.12,78,20,6.69,BR,1731456316
130,iqaluit,63.7506,-68.5145,-13.15,71,20,2.57,CA,1731456317
131,broken hill,-31.95,141.4333,20.17,46,19,9.57,AU,1731456319
132,saipan,15.1355,145.701,30.39,81,75,7.2,MP,1731456320
133,toamasina,-18.1667,49.3833,23.0,94,20,0.0,MG,1731456321
134,berdigestyakh,62.0989,126.6992,-24.47,100,70,1.42,RU,1731456322
135,vadso,70.0744,29.7487,3.85,88,100,10.08,NO,1731456323
136,mongo,12.1844,18.693,26.53,26,3,2.6,TD,1731456324
137,utrik,11.2278,169.8474,28.48,68,22,6.63,MH,1731456326
138,fortuna,40.5982,-124.1573,14.43,73,100,5.14,US,1731456327
139,constantia,44.1833,28.65,4.38,86,100,4.37,RO,1731456328
140,togur,58.3631,82.8265,-12.82,93,99,3.84,RU,1731456329
141,mogocha,53.7333,119.7667,-9.53,92,100,0.91,RU,1731456330
142,mejit,10.2753,170.8646,28.3,72,42,6.89,MH,1731456331
143,nar'yan-mar,67.6713,53.087,-6.92,95,100,4.67,RU,1731456333
144,acapulco de juarez,16.8634,-99.8901,25.11,81,100,2.93,MX,1731456068
145,montmorillon,46.4167,0.6667,5.74,93,65,5.3,FR,1731456335
146,san antonio de pale,-1.4014,5.6325,26.1,85,44,7.1,GQ,1731456336
147,ivanava,52.1451,25.5365,-1.09,90,77,2.06,BY,1731456337
148,wagar,16.1525,36.2032,24.51,73,0,5.36,SD,1731456338
149,georgetown,5.4112,100.3354,27.96,88,20,2.68,MY,1731456339
150,kulhudhuffushi,6.6221,73.07,28.24,68,7,3.31,MV,1731456341
151,enewetak,11.3474,162.3373,28.63,77,52,6.27,MH,1731456342
152,marsh harbour,26.5412,-77.0636,25.53,79,2,7.44,BS,1731456343
153,queenstown,-31.8976,26.8753,12.71,80,21,1.49,ZA,1731456344
154,phan rang-thap cham,11.5667,108.9833,24.84,88,100,1.63,VN,1731456345
155,port alfred,-33.5906,26.891,16.21,90,39,1.79,ZA,1731456346
156,pont rouge,48.8833,-72.0825,-2.62,73,43,4.16,CA,1731456348
157,sisimiut,66.9395,-53.6735,-4.27,69,100,8.87,GL,1731456349
158,karkira,36.9292,6.5856,13.85,86,24,2.35,DZ,1731456350
159,kapuskasing,49.4169,-82.4331,-1.0,86,100,3.6,CA,1731456351
160,lichinga,-13.3128,35.2406,21.05,88,20,3.13,MZ,1731456352
161,el granada,37.5027,-122.4694,16.67,70,0,4.63,US,1731456354
162,ulanhot,46.0833,122.0833,-1.33,55,1,1.76,CN,1731456355
163,badger,64.8,-147.5333,-15.01,83,75,0.0,US,1731456356
164,vuktyl,63.8567,57.3094,-10.88,93,100,2.08,RU,1731456357
165,ancud,-41.8697,-73.8203,10.5,92,79,2.47,CL,1731456358
166,cabo san lucas,22.8909,-109.9124,27.09,63,89,2.68,MX,1731456109
